,precip
1915-08-25,0.0
1915-08-26,0.0
1915-08-27,0.0
1915-08-28,0.0
1915-08-29,0.0
1915-08-30,0.0
1915-08-31,3.15000009537
1915-09-01,1.60000002384
1915-09-02,0.25
1915-09-03,1.60000002384
1915-09-04,0.0
1915-09-05,0.0
1915-09-06,0.0
1915-09-07,0.0
1915-09-08,0.0
1915-09-09,0.0
1915-09-10,0.10000000149
1915-09-11,0.0
1915-09-12,0.0250000003725
1915-09-13,0.0
1915-09-14,0.0
1915-09-15,0.0
1915-09-16,0.0
1915-09-17,0.0
1915-09-18,0.0
1915-09-19,0.0
1915-09-20,0.0
1915-09-21,0.0
1915-09-22,0.0
1915-09-23,0.0
1915-09-24,0.0
1915-09-25,1.29999995232
1915-09-26,1.97500002384
1915-09-27,0.0
1915-09-28,0.0
1915-09-29,0.0
1915-09-30,0.0
1915-10-01,0.0
1915-10-02,0.0
1915-10-03,0.0
1915-10-04,0.0
1915-10-05,0.0
1915-10-06,0.0
1915-10-07,0.0
1915-10-08,0.0
1915-10-09,0.0
1915-10-10,0.0
1915-10-11,0.0
1915-10-12,0.0
1915-10-13,0.0250000003725
1915-10-14,0.0
1915-10-15,0.0
1915-10-16,0.0
1915-10-17,0.0
1915-10-18,0.0
1915-10-19,0.0
1915-10-20,0.0
1915-10-21,0.0
1915-10-22,0.0
1915-10-23,0.0
1915-10-24,0.0
1915-10-25,0.0
1915-10-26,0.0
1915-10-27,0.0
1915-10-28,0.0
1915-10-29,0.0
1915-10-30,0.0
1915-10-31,0.0
1915-11-01,0.0
1915-11-02,0.0
1915-11-03,0.0
1915-11-04,0.0
1915-11-05,0.0
1915-11-06,1.52499997616
1915-11-07,1.60000002384
1915-11-08,0.0
1915-11-09,1.72500002384
1915-11-10,0.0
1915-11-11,0.0
1915-11-12,0.0
1915-11-13,0.0
1915-11-14,0.0
1915-11-15,0.0
1915-11-16,0.0
1915-11-17,0.0
1915-11-18,0.0
1915-11-19,0.0
1915-11-20,0.0
1915-11-21,0.0
1915-11-22,0.0
1915-11-23,0.0
1915-11-24,1.82500004768
1915-11-25,0.0
1915-11-26,0.774999976158
1915-11-27,0.0
1915-11-28,0.0
1915-11-29,0.34999999404
1915-11-30,0.0
1915-12-01,0.0
1915-12-02,0.0
1915-12-03,0.0250000003725
1915-12-04,3.54999995232
1915-12-05,0.0
1915-12-06,0.0
1915-12-07,0.0
1915-12-08,0.0
1915-12-09,0.0
1915-12-10,0.0
1915-12-11,0.0
1915-12-12,0.0
1915-12-13,1.77499997616
1915-12-14,3.27500009537
1915-12-15,0.0250000003725
1915-12-16,0.0
1915-12-17,0.0
1915-12-18,0.0
1915-12-19,0.0
1915-12-20,0.0
1915-12-21,0.0
1915-12-22,0.40000000596
1915-12-23,0.0250000003725
1915-12-24,0.0250000003725
1915-12-25,3.22499990463
1915-12-26,0.0
1915-12-27,0.0750000029802
1915-12-28,4.65000009537
1915-12-29,0.0
1915-12-30,0.0
1915-12-31,0.10000000149
1916-01-01,1.92499995232
1916-01-02,0.0250000003725
1916-01-03,1.67499995232
1916-01-04,2.54999995232
1916-01-05,1.04999995232
1916-01-06,1.25
1916-01-07,0.0
1916-01-08,1.77499997616
1916-01-09,5.82499980927
1916-01-10,4.25
1916-01-11,0.0
1916-01-12,2.45000004768
1916-01-13,6.77500009537
1916-01-14,6.19999980927
1916-01-15,0.5
1916-01-16,2.40000009537
1916-01-17,7.125
1916-01-18,6.77500009537
1916-01-19,20.6000003815
1916-01-20,0.0
1916-01-21,0.0
